"mitochan"	"lwrNorm"	"medNorm"	"uprNorm"
-1.90327037354145	-2.36152733815028	-2.07569568622863	-1.79241058242979
-1.89685869040176	-2.35831278090889	-2.06989890369761	-1.79181022163924
-1.89044700726207	-2.34560875999192	-2.06336562707027	-1.78580297701848
-1.88403532412239	-2.34012969890238	-2.05567520995502	-1.76610684580427
-1.8776236409827	-2.33229515187867	-2.04981095255267	-1.7631743204822
-1.87121195784301	-2.32284096497236	-2.04741962556676	-1.7602926021194
-1.86480027470333	-2.3254706279367	-2.03839065197193	-1.7433163369523
-1.85838859156364	-2.3188841905226	-2.0348212198591	-1.74715572650634
-1.85197690842395	-2.31010259364252	-2.0216135758863	-1.73828442749296
-1.84556522528426	-2.29111599634691	-2.01818955636388	-1.73207269617886
-1.83915354214458	-2.29797675744016	-2.01258364814983	-1.72225897224589
-1.83274185900489	-2.28647582832508	-2.00187515224398	-1.71555477223685
-1.8263301758652	-2.28004348916682	-1.99444426658656	-1.71634323244629
-1.81991849272552	-2.2795321996509	-1.98870153424769	-1.70496408495064
-1.81350680958583	-2.26800456745832	-1.98372065394345	-1.69670876902876
-1.80709512644614	-2.25815168941239	-1.97826915160807	-1.69383499773505
-1.80068344330645	-2.25590282859956	-1.97132575025182	-1.6855958736873
-1.79427176016677	-2.24710678241335	-1.96291086813043	-1.67677540917425
-1.78786007702708	-2.24613497796405	-1.95882910964264	-1.67117169737412
-1.78144839388739	-2.23115454061741	-1.9503734008583	-1.66460578081653
-1.7750367107477	-2.22776009213784	-1.94289852291144	-1.66036527829206
-1.76862502760802	-2.21504544979479	-1.9368051867691	-1.64430668028205
-1.76221334446833	-2.2127787099144	-1.92983516763516	-1.646437302812
-1.75580166132864	-2.20830036847261	-1.9235090129699	-1.64425601092078
-1.74938997818896	-2.20087077215874	-1.91684606118132	-1.63241383799907
-1.74297829504927	-2.19015474888608	-1.91106638924467	-1.62328589225217
-1.73656661190958	-2.18614703666558	-1.90495830939222	-1.61560440062045
-1.73015492876989	-2.17710568868733	-1.90238023795124	-1.6190041779446
-1.72374324563021	-2.17358205103787	-1.88958760432609	-1.60519344553241
-1.71733156249052	-2.16513225748704	-1.88545944278509	-1.60317466125823
-1.71091987935083	-2.15951516613135	-1.87856867604843	-1.59655598988585
-1.70450819621115	-2.14985662433972	-1.87158398080147	-1.58562888433331
-1.69809651307146	-2.14712955593019	-1.86563544708083	-1.58972076237457
-1.69168482993177	-2.14176257633227	-1.85740176496923	-1.57496426678876
