"mitochan"	"lwrNorm"	"medNorm"	"uprNorm"
-1.90327037354145	-2.99668903520889	-2.61308368721329	-2.20500565487823
-1.89706886147604	-3.01308645407461	-2.6027111916369	-2.20193582620454
-1.89086734941062	-2.99192519407505	-2.59559899209736	-2.19398167445937
-1.88466583734521	-2.98764355022013	-2.58521758419159	-2.18183600915939
-1.87846432527979	-2.98798609008433	-2.57315363850179	-2.17591728694033
-1.87226281321438	-2.97614636952878	-2.56455359252041	-2.17345916739933
-1.86606130114897	-2.95611052081391	-2.55950659587517	-2.14691662774793
-1.85985978908355	-2.95333204903638	-2.54430770296486	-2.13987254127643
-1.85365827701814	-2.93795143171494	-2.53784674372189	-2.13786694324313
-1.84745676495273	-2.9436127228108	-2.52844908007929	-2.1216923933281
-1.84125525288731	-2.91207865626923	-2.52802055395533	-2.11716182840982
-1.8350537408219	-2.90879641843096	-2.50673376617411	-2.09682256572099
-1.82885222875648	-2.90417080765967	-2.50557243540905	-2.10539983377142
-1.82265071669107	-2.87164634811692	-2.49113869018949	-2.10038191507627
-1.81644920462566	-2.88996223902444	-2.47480541026041	-2.08768847817434
-1.81024769256024	-2.87244154793372	-2.4721103092044	-2.06861036138698
-1.80404618049483	-2.85995042871387	-2.45864130891194	-2.06675917760125
-1.79784466842942	-2.8581590313577	-2.44517428391982	-2.03241629882715
-1.791643156364	-2.85491659424993	-2.43894530707588	-2.0541588653605
-1.78544164429859	-2.84010347809636	-2.42899359255828	-2.02831323631921
-1.77924013223318	-2.82674420933611	-2.42540307976309	-2.03145327638471
-1.77303862016776	-2.81646765535874	-2.41398602443004	-2.01374009663418
-1.76683710810235	-2.80334332341963	-2.40390906363326	-2.00773374580258
-1.76063559603693	-2.79325892126472	-2.39608562332472	-2.00205590474625
-1.75443408397152	-2.77802676905507	-2.39418783563408	-1.99308791439398
-1.74823257190611	-2.76712172522255	-2.36625219975291	-1.97949116980629
-1.74203105984069	-2.77379145666929	-2.36552940689061	-1.96788285255699
-1.73582954777528	-2.74486587817842	-2.35741394766131	-1.95959815553164
-1.72962803570987	-2.74846258378218	-2.34809020797212	-1.94821276466069
-1.72342652364445	-2.72756459730542	-2.34069831859994	-1.94340593192051
-1.71722501157904	-2.71590391756421	-2.33090784750496	-1.93018282310141
-1.71102349951362	-2.71565461460466	-2.32132084199026	-1.91005167020895
-1.70482198744821	-2.70643949331462	-2.30571959482015	-1.90546972002345
-1.6986204753828	-2.70734395334137	-2.30064961160042	-1.90326718010031
-1.69241896331738	-2.68471844480921	-2.28975125066551	-1.89036359844888
-1.68621745125197	-2.67672917216091	-2.28120313115145	-1.87855399585488
-1.68001593918656	-2.68009813811396	-2.27333592453978	-1.87714904989524
-1.67381442712114	-2.65789629278544	-2.2622088407911	-1.87742722629951
-1.66761291505573	-2.65665608709892	-2.25732397876847	-1.84484260807949
-1.66141140299031	-2.62838224104853	-2.23634764211723	-1.84298098184203
-1.6552098909249	-2.63651753356593	-2.23626773008991	-1.83208998896218
-1.64900837885949	-2.60827925658279	-2.22186721008477	-1.82064126865247
-1.64280686679407	-2.59225638620835	-2.21125882029565	-1.81632572420593
-1.63660535472866	-2.59693659615913	-2.19841402030801	-1.79576107155152
-1.63040384266325	-2.59058906258393	-2.19469877066295	-1.80838285830842
-1.62420233059783	-2.58207613373017	-2.18282128830493	-1.79104584259398
-1.61800081853242	-2.56322237724695	-2.17626322321427	-1.78759796735908
-1.61179930646701	-2.5632574253681	-2.17590479672889	-1.7755858942071
-1.60559779440159	-2.5498912217195	-2.15791969236117	-1.76586565143602
-1.59939628233618	-2.53856572553605	-2.14092559451041	-1.74768140311502
-1.59319477027076	-2.51618979253258	-2.13757344605737	-1.74294569059964
-1.58699325820535	-2.53121492575287	-2.12668626244903	-1.72150477745614
-1.58079174613994	-2.51777550701503	-2.12359378269999	-1.72806372491979
-1.57459023407452	-2.49409119631527	-2.11479726331436	-1.72232497528135
-1.56838872200911	-2.49286838762203	-2.1042022159526	-1.7207685699252
-1.5621872099437	-2.47956886978385	-2.09028075253216	-1.70324211055973
-1.55598569787828	-2.47226553492998	-2.084880014416	-1.71037408804732
-1.54978418581287	-2.48116829911714	-2.07378747434953	-1.68848390766061
-1.54358267374745	-2.46383856875361	-2.06596976010809	-1.67654978597424
-1.53738116168204	-2.44803884573657	-2.05985568676353	-1.66834705635585
-1.53117964961663	-2.4347605698313	-2.04630585747812	-1.65724809079162
-1.52497813755121	-2.43827744463157	-2.03751668423536	-1.65851016111444
-1.5187766254858	-2.4268628321207	-2.03196276236372	-1.62924155345762
