"mitochan"	"lwrNorm"	"medNorm"	"uprNorm"
-1.90327037354145	-4.84001777669986	-3.65983980093014	-2.5094165566061
-1.89755293934577	-4.82574607485501	-3.65798260046643	-2.50548889408211
-1.8918355051501	-4.80698072057636	-3.64445369141195	-2.48450469590372
-1.88611807095443	-4.79022619042641	-3.64314621122529	-2.49249796630911
-1.88040063675875	-4.78138201800422	-3.61582678813985	-2.5008797159638
-1.87468320256308	-4.78451824782527	-3.60135451126611	-2.45344070571559
-1.8689657683674	-4.75700052318242	-3.60016603690822	-2.45830469749304
-1.86324833417173	-4.74201418663436	-3.59260041854401	-2.45222001140563
-1.85753089997605	-4.72737429257367	-3.58042231017038	-2.44446845067507
-1.85181346578038	-4.7000555633209	-3.56140922729711	-2.42828026195862
-1.8460960315847	-4.72998326047159	-3.54832947394745	-2.4311445029605
-1.84037859738903	-4.67701605303485	-3.53803140475277	-2.39425243163565
-1.83466116319335	-4.65888883739534	-3.54017024613216	-2.41036119157118
-1.82894372899768	-4.66317795295668	-3.52202883664048	-2.37790279368838
-1.82322629480201	-4.62726405519951	-3.50266234098522	-2.37649306653865
-1.81750886060633	-4.64014290123359	-3.4909264898552	-2.38094574051756
-1.81179142641066	-4.60596315700167	-3.48312430295364	-2.35027147075738
-1.80607399221498	-4.5968063295806	-3.46746368427043	-2.36684439000571
-1.80035655801931	-4.61804663069301	-3.46003713741791	-2.34467802458843
-1.79463912382363	-4.59375759221934	-3.43853254929433	-2.35014488999931
-1.78892168962796	-4.5528048911238	-3.43547709311598	-2.31239187158619
-1.78320425543228	-4.50767483265683	-3.42653478649197	-2.32111757943324
-1.77748682123661	-4.5570990483783	-3.41632382213856	-2.30844853892592
-1.77176938704093	-4.54067832923417	-3.40215769233226	-2.27793455203704
-1.76605195284526	-4.50458045618776	-3.39039165481909	-2.28419960877621
-1.76033451864959	-4.50081934004095	-3.37143581648536	-2.28510893510022
-1.75461708445391	-4.4720755310361	-3.37134263312487	-2.27383497524238
-1.74889965025824	-4.4685409155845	-3.36304074791506	-2.27425223585937
-1.74318221606256	-4.44292961342803	-3.33481710182577	-2.23501503735337
-1.73746478186689	-4.43942713853087	-3.3338375158732	-2.28515497252347
-1.73174734767121	-4.43194729226203	-3.32062737101519	-2.220181826558
-1.72602991347554	-4.39698846929803	-3.31133989506425	-2.23514749693843
-1.72031247927986	-4.37738039306569	-3.30165745034706	-2.22316267702871
-1.71459504508419	-4.38216416645619	-3.28494808444178	-2.23862200395736
-1.70887761088851	-4.37779517438477	-3.27475458070959	-2.21170979808815
-1.70316017669284	-4.37796189150919	-3.25873313796258	-2.16265060526064
-1.69744274249717	-4.35359440726449	-3.2484501429591	-2.18595482793879
-1.69172530830149	-4.33207623396251	-3.24861529914048	-2.16387349963435
-1.68600787410582	-4.33162648666152	-3.2215903256217	-2.18566273719076
-1.68029043991014	-4.33710350432064	-3.22390762701422	-2.15528029622837
-1.67457300571447	-4.29207491175642	-3.20089094106401	-2.13742796547748
-1.66885557151879	-4.27925799573924	-3.19404262613692	-2.15311381379205
-1.66313813732312	-4.24717975557823	-3.19194671743579	-2.10211171468135
-1.65742070312744	-4.26977280021314	-3.17641141175899	-2.1203364006321
-1.65170326893177	-4.25648503381573	-3.16424483247966	-2.08071318162343
-1.64598583473609	-4.2371569554584	-3.15508855598425	-2.0983775919916
-1.64026840054042	-4.20701416174452	-3.13775236006088	-2.08816776196405
-1.63455096634475	-4.2187512648589	-3.13447655390447	-2.0810239380386
-1.62883353214907	-4.18301458570056	-3.11280206539551	-2.05717516883476
-1.6231160979534	-4.15739593490774	-3.09433290919955	-2.06131571119326
-1.61739866375772	-4.18333342437904	-3.08612382974459	-2.04568280717972
-1.61168122956205	-4.12527193585663	-3.08606460313813	-2.05138005576207
-1.60596379536637	-4.13199134239876	-3.06492083281571	-2.01624698222836
-1.6002463611707	-4.11574568329219	-3.06246634131237	-2.03706233463276
-1.59452892697502	-4.11488480274783	-3.04750887419425	-2.00438787377219
-1.58881149277935	-4.07465845486716	-3.02965773263158	-2.00069034620145
-1.58309405858367	-4.053113717155	-3.02026210317376	-2.01310918292604
-1.577376624388	-4.05435864762515	-3.01260832779287	-1.95835925477426
-1.57165919019233	-4.01351595874869	-3.00185976412572	-1.99026906763221
-1.56594175599665	-4.02378576611001	-2.991699809552	-1.9767884792039
-1.56022432180098	-4.01795609982015	-2.9749631668486	-1.94945670237603
-1.5545068876053	-4.00866408908624	-2.96594957121482	-1.94106796431985
-1.54878945340963	-3.97829977045808	-2.95295639550494	-1.92334103460089
-1.54307201921395	-3.96693094065601	-2.94016288827198	-1.91853616343956
-1.53735458501828	-3.96158385129275	-2.93500641885263	-1.9092027013097
-1.5316371508226	-3.95640531170328	-2.91479715560817	-1.92028266044256
-1.52591971662693	-3.93917622505886	-2.91013640980917	-1.88661025248048
-1.52020228243125	-3.94431544425217	-2.90331243710277	-1.92424469153655
