"mitochan"	"lwrNorm"	"medNorm"	"uprNorm"
-1.90327037354145	-3.82599038937835	-2.71343428045415	-1.56051136137016
-1.89616204912226	-3.80854277444959	-2.71091038691853	-1.56668918974258
-1.88905372470308	-3.82518523279422	-2.69209498539686	-1.57925502267671
-1.88194540028389	-3.80341756787197	-2.70641966392853	-1.56987360058002
-1.8748370758647	-3.79338435377488	-2.68888676257067	-1.56424048797029
-1.86772875144552	-3.76420878556082	-2.67014020587376	-1.5557123941414
-1.86062042702633	-3.75303781476928	-2.67124523097128	-1.57445152914146
-1.85351210260715	-3.77585024504185	-2.65890782206309	-1.52037576609457
-1.84640377818796	-3.73804745243959	-2.64975400575647	-1.5538122180338
-1.83929545376877	-3.71472312097876	-2.63222337444276	-1.55078475877743
-1.83218712934959	-3.72299283289994	-2.62882878143492	-1.51963447114315
-1.8250788049304	-3.69392912302448	-2.62242925756886	-1.52416394295455
-1.81797048051122	-3.69408888302868	-2.60650342086811	-1.51429786736979
-1.81086215609203	-3.682388506744	-2.60004783973896	-1.49036082359
-1.80375383167284	-3.67239051086869	-2.59002483242991	-1.49767807081733
-1.79664550725366	-3.64724199298034	-2.58004433749363	-1.47956645562105
-1.78953718283447	-3.64021990035665	-2.56557432021665	-1.47617422542263
-1.78242885841529	-3.63601398522785	-2.56375853216078	-1.47256035977467
-1.7753205339961	-3.61402773525532	-2.543260641349	-1.46702217257259
-1.76821220957691	-3.62250188705404	-2.54549732810576	-1.46298426617634
-1.76110388515773	-3.56993921852788	-2.52978662516227	-1.4543537449288
-1.75399556073854	-3.59025073420042	-2.52005525630173	-1.45202316271013
-1.74688723631936	-3.54478811287298	-2.51419461975321	-1.45231124759778
-1.73977891190017	-3.56495439514851	-2.50445552883599	-1.443014303567
-1.73267058748098	-3.54296291631343	-2.50130057280995	-1.44186338644873
-1.7255622630618	-3.5366796779676	-2.47881623124096	-1.38295359809591
-1.71845393864261	-3.51115884936024	-2.47219673927915	-1.39653553670367
-1.71134561422343	-3.50071212576755	-2.46326046757655	-1.42809453122536
-1.70423728980424	-3.48369096848104	-2.45899148440339	-1.39068006577732
-1.69712896538505	-3.48617463190203	-2.43856744301507	-1.39456132965086
-1.69002064096587	-3.45761545256765	-2.43941619073774	-1.37980837529272
-1.68291231654668	-3.44287953782311	-2.42767019688129	-1.39631093801074
-1.6758039921275	-3.42734342291064	-2.41816411809691	-1.35235523842177
-1.66869566770831	-3.44173551166765	-2.41271518409098	-1.35753887825307
-1.66158734328912	-3.44950181369738	-2.39387157659574	-1.3513837896386
-1.65447901886994	-3.39979467397989	-2.38150630993136	-1.37132260599693
-1.64737069445075	-3.3845486266083	-2.37612953488645	-1.34821336478852
-1.64026237003157	-3.3897559035389	-2.36638962202517	-1.32929989133228
-1.63315404561238	-3.36490079559275	-2.35693110096394	-1.34184230096907
-1.62604572119319	-3.35094689655278	-2.34691000222306	-1.34106878329589
-1.61893739677401	-3.35498570819781	-2.33532465418699	-1.31848493795946
-1.61182907235482	-3.33636357504928	-2.32604690450177	-1.29793318360226
-1.60472074793564	-3.31895028652563	-2.31573269270654	-1.31758540048393
-1.59761242351645	-3.31675980326154	-2.30445576394114	-1.29245990041778
-1.59050409909726	-3.28236570772344	-2.3148493132774	-1.29415774377662
-1.58339577467808	-3.27737095033625	-2.29241537627796	-1.26290724503233
-1.57628745025889	-3.26930052817856	-2.28639999981268	-1.28365883481305
-1.56917912583971	-3.24947805834757	-2.27943770523662	-1.27028379401405
