"mitochan"	"lwrNorm"	"medNorm"	"uprNorm"
-1.90327037354145	-2.96843477455019	-2.67975399928903	-2.38921432275472
-1.89706211451297	-2.97396091160996	-2.67498394056946	-2.38087905805508
-1.8908538554845	-2.95779619616683	-2.66537590657947	-2.374751319684
-1.88464559645603	-2.9489812600289	-2.65760142922248	-2.36174107422022
-1.87843733742755	-2.94628098908405	-2.65133069356417	-2.35372429529117
-1.87222907839908	-2.94229056611091	-2.64323404366673	-2.35184451423485
-1.8660208193706	-2.93209689000816	-2.63481338615677	-2.33854381564293
-1.85981256034213	-2.92406797467341	-2.62982690551481	-2.33635513148025
-1.85360430131365	-2.91256674000052	-2.6209361932466	-2.32625221334672
-1.84739604228518	-2.909362684582	-2.61510647008905	-2.31908001770929
-1.8411877832567	-2.894980968319	-2.6057505006713	-2.31307557034659
-1.83497952422823	-2.89168121487257	-2.59865600840748	-2.30419866434669
-1.82877126519975	-2.8813183854488	-2.59179444031758	-2.29755052395602
-1.82256300617128	-2.87899070790545	-2.58172863317177	-2.29083536396409
-1.8163547471428	-2.8672317141504	-2.57634893165314	-2.28141683464488
-1.81014648811433	-2.86623923157818	-2.56946964496336	-2.27381458001425
-1.80393822908586	-2.85675540249423	-2.56059111561639	-2.26519819077342
-1.79772997005738	-2.85088946335112	-2.55388381030275	-2.2587175428052
-1.79152171102891	-2.83628144624337	-2.54753481293487	-2.25889730919005
-1.78531345200043	-2.83181295715345	-2.53945120123775	-2.24136000120078
-1.77910519297196	-2.82588539602825	-2.52862332962197	-2.23711939233556
-1.77289693394348	-2.81749280546304	-2.52240523415167	-2.22816686682488
-1.76668867491501	-2.80996716788968	-2.51496847246933	-2.22064259526217
-1.76048041588653	-2.79877150524953	-2.50802047536317	-2.21061954533845
-1.75427215685806	-2.79238021459608	-2.50097043674093	-2.20900842729881
-1.74806389782958	-2.78786064640517	-2.49203267658204	-2.20409791453993
-1.74185563880111	-2.77778462330986	-2.48493372195985	-2.19440978323433
-1.73564737977264	-2.76981191427346	-2.47803088240416	-2.18756369932114
-1.72943912074416	-2.76999466765493	-2.46909193477863	-2.17303980716397
-1.72323086171569	-2.7582776041935	-2.46435932234919	-2.17002010359912
-1.71702260268721	-2.74268262746248	-2.45399276114756	-2.16370610982228
-1.71081434365874	-2.7416300237026	-2.44759106253861	-2.15476532821833
-1.70460608463026	-2.73869684956346	-2.44243582356092	-2.145359077019
-1.69839782560179	-2.72319897925715	-2.43198584307335	-2.14406945832388
-1.69218956657331	-2.71996987274542	-2.42707939923003	-2.13767394703735
-1.68598130754484	-2.71041433910282	-2.41790202736956	-2.12146975690057
-1.67977304851636	-2.70064309679859	-2.41021750465765	-2.11307944273012
-1.67356478948789	-2.69838615008095	-2.40178346722283	-2.11130164813319
-1.66735653045942	-2.68423692357607	-2.39559693950402	-2.10178026005494
-1.66114827143094	-2.67661951047549	-2.38817430878071	-2.09719174325243
-1.65494001240247	-2.67235007726205	-2.37943439677528	-2.09281589802216
-1.64873175337399	-2.66280891741207	-2.37359859678859	-2.0808907732485
-1.64252349434552	-2.65493881040163	-2.36408663261094	-2.0737315523273
-1.63631523531704	-2.64812762615388	-2.35865660960204	-2.0659015616398
-1.63010697628857	-2.63857410721371	-2.35230735062177	-2.06123700007056
-1.62389871726009	-2.63464099843313	-2.34247255410796	-2.05164859702997
-1.61769045823162	-2.62698609736524	-2.33793593383603	-2.04111678908811
-1.61148219920314	-2.61310055014787	-2.32702087189964	-2.03474887792313
-1.60527394017467	-2.61159719456495	-2.32060754452633	-2.02815084612492
-1.5990656811462	-2.60036649941154	-2.31187942731376	-2.02630326960058
-1.59285742211772	-2.59866457914349	-2.30355040724964	-2.01455524133616
-1.58664916308925	-2.58439731500994	-2.2945665893125	-2.00606983460745
-1.58044090406077	-2.57798953314836	-2.28901235491416	-1.99626673243455
-1.5742326450323	-2.56955454498485	-2.28090580090176	-1.98972576496712
-1.56802438600382	-2.56666459118492	-2.27311859301268	-1.98228702925183
