"mitochan"	"lwrNorm"	"medNorm"	"uprNorm"
-1.90327037354145	-2.35871131601833	-2.07861562114594	-1.78228972237997
-1.89685869040176	-2.35270083949839	-2.06982305438487	-1.78400579565055
-1.89044700726207	-2.34942260139514	-2.06301650772041	-1.76698786137082
-1.88403532412239	-2.34441739384974	-2.06073638081194	-1.7621696577253
-1.8776236409827	-2.34488477422974	-2.05148164902529	-1.77022269580269
-1.87121195784301	-2.33491886659746	-2.04602747714156	-1.75095443170083
-1.86480027470333	-2.32187199183156	-2.03355255677516	-1.75142233293064
-1.85838859156364	-2.31321400495022	-2.03384679579741	-1.74714994527322
-1.85197690842395	-2.31103137586236	-2.02339455375274	-1.74227737097198
-1.84556522528426	-2.30966666423861	-2.01451099351391	-1.73080575534387
-1.83915354214458	-2.29381856780168	-2.00645800350406	-1.71809320380897
-1.83274185900489	-2.28535741604276	-2.00950203222731	-1.71808216053342
-1.8263301758652	-2.28274355934251	-1.99444777584108	-1.70885929609129
-1.81991849272552	-2.28552324211197	-1.9901132701863	-1.7152382180217
-1.81350680958583	-2.27167001606849	-1.98189267234525	-1.70583907864459
-1.80709512644614	-2.2791788594713	-1.97849481424794	-1.68785422989477
-1.80068344330645	-2.25457057436534	-1.96758385216138	-1.68568167497888
-1.79427176016677	-2.25076539885373	-1.96284829403937	-1.67644668652668
-1.78786007702708	-2.24251075883537	-1.95936915454051	-1.6694853437396
-1.78144839388739	-2.2380192870562	-1.95346416494665	-1.67293346540182
-1.7750367107477	-2.22487636864563	-1.93827455481376	-1.66707918485595
-1.76862502760802	-2.22757844616326	-1.93882309768783	-1.64288285485396
-1.76221334446833	-2.20255041060622	-1.93257980493305	-1.65258109881159
-1.75580166132864	-2.2058340811972	-1.92364642032663	-1.63678013093897
-1.74938997818896	-2.19164652247484	-1.92053907025853	-1.63132710167944
-1.74297829504927	-2.19381837242657	-1.91433377492109	-1.63407866053584
-1.73656661190958	-2.18199459687096	-1.90168570752521	-1.61849076896129
-1.73015492876989	-2.18478610709892	-1.89820103689569	-1.61384417171065
-1.72374324563021	-2.16941858596869	-1.89463391916768	-1.60755806497488
-1.71733156249052	-2.16864460847856	-1.88206189736439	-1.60321963089312
-1.71091987935083	-2.15433574402574	-1.87475403891125	-1.58638145870577
-1.70450819621115	-2.15028207321038	-1.87359130522724	-1.59066519795035
-1.69809651307146	-2.1521580250081	-1.86404942218936	-1.58764914099932
-1.69168482993177	-2.14204644550135	-1.86041934720281	-1.57476490216679
-1.68527314679208	-2.12811258446161	-1.85284837188937	-1.57471767599909
-1.6788614636524	-2.1189014334736	-1.8473574164705	-1.55477699561838
-1.67244978051271	-2.11996240734643	-1.84049839876794	-1.55175467831169
-1.66603809737302	-2.09918744727593	-1.83421447157554	-1.54127504075952
-1.65962641423334	-2.11148881234609	-1.82176978727817	-1.53136173485073
-1.65321473109365	-2.10518638918209	-1.81604722615058	-1.54276686147073
-1.64680304795396	-2.09226848845772	-1.81392147148031	-1.53307176770302
-1.64039136481427	-2.08928268415566	-1.80738475173857	-1.52124892927852
-1.63397968167459	-2.06894859835083	-1.79846098236366	-1.51481754081239
-1.6275679985349	-2.07026185134078	-1.79382262042133	-1.51069982264148
-1.62115631539521	-2.06803061703679	-1.78818630122964	-1.50684953575098
-1.61474463225553	-2.05674778374112	-1.78095409758954	-1.50086898144616
-1.60833294911584	-2.04965513056741	-1.77148572154354	-1.48796407226535
-1.60192126597615	-2.05103452272906	-1.76859254046683	-1.49436174111228
-1.59550958283646	-2.03191750234677	-1.75856422229302	-1.48077418384185
-1.58909789969678	-2.03119793331024	-1.75252163788519	-1.48011623360856
-1.58268621655709	-2.01837298920447	-1.74415324583977	-1.47213557535215
-1.5762745334174	-2.01143332889007	-1.737403933617	-1.45380538231751
-1.56986285027771	-2.00945084986955	-1.73248820068697	-1.44195351764804
-1.56345116713803	-2.00751457540057	-1.72325202252766	-1.4387530577119
-1.55703948399834	-2.0075502665906	-1.72187481273413	-1.4520763308376
-1.55062780085865	-1.99582819667043	-1.71401164149546	-1.42653703719909
-1.54421611771897	-1.97886311114979	-1.70194750182808	-1.42447466590845
-1.53780443457928	-1.98228819619926	-1.69832067126115	-1.42805261290326
-1.53139275143959	-1.96021619238511	-1.68709987255164	-1.42150330266271
-1.5249810682999	-1.95719775121684	-1.68284556802485	-1.4068892575933
-1.51856938516022	-1.95212428821277	-1.68079139089351	-1.40326112515789
-1.51215770202053	-1.96051688293041	-1.6702654292402	-1.39950152275771
-1.50574601888084	-1.94291350012569	-1.65977656926631	-1.3894449815094
-1.49933433574116	-1.93694545437525	-1.65976765738	-1.37930684430526
-1.49292265260147	-1.92692069185278	-1.64720891158788	-1.36596903452283
-1.48651096946178	-1.93390094763231	-1.64351238859465	-1.35915029209755
-1.48009928632209	-1.90299753060905	-1.63743005561873	-1.36192333514878
-1.47368760318241	-1.9128157493887	-1.63202239385313	-1.35583173945272
