"mitochan"	"lwrNorm"	"medNorm"	"uprNorm"
-1.90327037354145	-2.68456432062971	-2.22584369225651	-1.77010933744744
-1.89617175054776	-2.66148520929036	-2.20796852058365	-1.76659545552483
-1.88907312755408	-2.66199952521624	-2.21283854808539	-1.74963395384235
-1.88197450456039	-2.63984953433748	-2.19492009935829	-1.74463071716886
-1.8748758815667	-2.63945626728992	-2.18542019357921	-1.74525790280008
-1.86777725857302	-2.64200531509403	-2.17655423795056	-1.72354876117828
-1.86067863557933	-2.63762790001598	-2.16866443392958	-1.72974658065286
-1.85358001258564	-2.62971301957085	-2.16227165472558	-1.69857271611542
-1.84648138959196	-2.60607020011287	-2.15486902985127	-1.7006985421816
-1.83938276659827	-2.59144636781229	-2.14652117059533	-1.69838574606012
-1.83228414360459	-2.59748799959921	-2.12975744595494	-1.66509211642124
-1.8251855206109	-2.57144343870928	-2.12581860848395	-1.68027307238096
-1.81808689761721	-2.56913631647834	-2.10372715311757	-1.67128995194446
-1.81098827462353	-2.56438304019126	-2.11520673345348	-1.6585601037271
-1.80388965162984	-2.53801272090806	-2.09722694065489	-1.65296136792867
-1.79679102863615	-2.52996116309615	-2.08768374555965	-1.63723357372474
-1.78969240564247	-2.52000905451217	-2.08460187219051	-1.62970441844398
-1.78259378264878	-2.51889548995262	-2.06623387084204	-1.61178704320136
-1.77549515965509	-2.49370474681014	-2.05820816037086	-1.59575762046315
-1.76839653666141	-2.48403318601784	-2.04204637820018	-1.57784082513629
-1.76129791366772	-2.48029943597466	-2.04018349247075	-1.5923484011012
-1.75419929067404	-2.48219115727806	-2.03001593445804	-1.57597408783872
-1.74710066768035	-2.45929273169934	-2.03027382955125	-1.57232056915008
-1.74000204468666	-2.4549108982276	-2.01723297661133	-1.5648619979669
-1.73290342169298	-2.44512049021076	-2.00223760783715	-1.54623164641179
-1.72580479869929	-2.44292291638884	-1.99281301791828	-1.55847944267886
-1.7187061757056	-2.42521526576033	-1.98047249697116	-1.55167058382256
-1.71160755271192	-2.41601259424024	-1.97817684571039	-1.51459212986871
-1.70450892971823	-2.40652437119706	-1.96420219805472	-1.515705233955
-1.69741030672454	-2.40615505261644	-1.95040747918519	-1.49232499211764
-1.69031168373086	-2.40366838147771	-1.94519201513015	-1.49505050406257
-1.68321306073717	-2.39256199906935	-1.93188159609712	-1.4928025500596
-1.67611443774349	-2.36953674980382	-1.92627680016606	-1.48368136309102
-1.6690158147498	-2.36552051463879	-1.91760085602848	-1.46499801573821
-1.66191719175611	-2.35058452432536	-1.9144956981787	-1.4733196656911
-1.65481856876243	-2.35389079670689	-1.89627198737368	-1.46259102595613
-1.64771994576874	-2.32844631554839	-1.87716848219372	-1.43319368539393
-1.64062132277505	-2.33118432177847	-1.87645349787571	-1.415562189131
-1.63352269978137	-2.31013509766653	-1.8705370894234	-1.4315987640424
-1.62642407678768	-2.30742756738848	-1.85612530384022	-1.40336213181994
-1.61932545379399	-2.30514438491169	-1.85830777126629	-1.39901949694348
-1.61222683080031	-2.2808220677012	-1.84194261307188	-1.38233000119586
-1.60512820780662	-2.2834536715943	-1.8335864955256	-1.38448200756576
-1.59802958481294	-2.26354925589932	-1.82307254399874	-1.37860532297094
-1.59093096181925	-2.26002287281725	-1.80377410947979	-1.35663262462843
-1.58383233882556	-2.2462191978277	-1.80651351311731	-1.36642015193154
-1.57673371583188	-2.24450583894795	-1.79564227078987	-1.34733100534963
-1.56963509283819	-2.22644614998252	-1.77318080018003	-1.34467742250383
-1.5625364698445	-2.21574107386229	-1.77772242313674	-1.34764795455896
-1.55543784685082	-2.19767301422287	-1.7589312390677	-1.32743843312566
-1.54833922385713	-2.2004324450617	-1.75405578153975	-1.31959034575763
-1.54124060086344	-2.20259920231802	-1.75105905547483	-1.30360834451858
-1.53414197786976	-2.17293289986616	-1.74082073281868	-1.31170343879384
-1.52704335487607	-2.15514080346446	-1.72401242670054	-1.28188141811284
-1.51994473188239	-2.14937393217985	-1.71092753021445	-1.27466957520985
-1.5128461088887	-2.14072556484963	-1.70754109731777	-1.27471085352214
-1.50574748589501	-2.13947895435843	-1.70011735866691	-1.24981828999352
-1.49864886290133	-2.11844861287848	-1.69094143274836	-1.25532023594415
-1.49155023990764	-2.13160011521861	-1.68024835925502	-1.23820340052242
-1.48445161691395	-2.10366704458104	-1.67008345761453	-1.24527995364113
-1.47735299392027	-2.10856552348916	-1.66515982733267	-1.22496988382586
-1.47025437092658	-2.09281679337723	-1.65855377874807	-1.20888418685891
-1.46315574793289	-2.07925862115576	-1.63957279140838	-1.20742924316712
-1.45605712493921	-2.06138349403569	-1.63146135488998	-1.18378301748479
-1.44895850194552	-2.04777009375871	-1.62831731217917	-1.1799491419966
-1.44185987895184	-2.04842707765878	-1.6145997701155	-1.18208926925537
-1.43476125595815	-2.04223294250932	-1.60516414095647	-1.17254400083155
-1.42766263296446	-2.03743856922889	-1.59552697333968	-1.15984776843338
-1.42056400997078	-2.04165852084654	-1.58474222382242	-1.14695773393065
-1.41346538697709	-2.01663704892497	-1.57525582572573	-1.15131091507661
-1.4063667639834	-2.01187461294584	-1.56817850946748	-1.12709263342222
-1.39926814098972	-1.99306350971625	-1.55715718661888	-1.13293231269889
-1.39216951799603	-1.96633607892562	-1.54337823879067	-1.11542874242491
-1.38507089500234	-1.9634741672142	-1.53689906054745	-1.10426533673096
-1.37797227200866	-1.97384129737538	-1.52948829892712	-1.09165837555285
-1.37087364901497	-1.94238218489369	-1.51848812337811	-1.09171120126318
-1.36377502602129	-1.94840163793066	-1.515291814658	-1.07888999134057
-1.3566764030276	-1.92685705882709	-1.50233613882785	-1.05307895883671
-1.34957778003391	-1.90331545991026	-1.48955831502641	-1.07260927520204
-1.34247915704023	-1.9094921610675	-1.47891261724848	-1.05266803211269
-1.33538053404654	-1.89876202953403	-1.4656600172562	-1.02884606392609
-1.32828191105285	-1.88577476658827	-1.45945183911345	-1.02291473824181
-1.32118328805917	-1.88016294482304	-1.45514061428495	-1.01392392852354
-1.31408466506548	-1.87958653115504	-1.4402248648619	-1.00227779439163
-1.30698604207179	-1.88646792222473	-1.43944265824663	-1.00848455426188
-1.29988741907811	-1.85824069267538	-1.41571904024949	-0.977699973640356
-1.29278879608442	-1.84936974047823	-1.41102383113524	-0.988227688876408
-1.28569017309074	-1.83500052343347	-1.40611193639447	-0.975131559105838
-1.27859155009705	-1.80958039229424	-1.39789680861271	-0.975489975316413
