"mitochan"	"lwrNorm"	"medNorm"	"uprNorm"
-1.90327037354145	-4.79761297366624	-3.70186378480319	-2.49688196089526
-1.8966507915407	-4.80348947372741	-3.68337376693444	-2.52772117974895
-1.89003120953995	-4.77076155441621	-3.67301192172682	-2.49184992178372
-1.88341162753921	-4.75852115362264	-3.66982323681381	-2.46781110268896
-1.87679204553846	-4.74151521386032	-3.63110611823559	-2.44285239790393
-1.87017246353771	-4.73856398489588	-3.63164562189247	-2.48174427374238
-1.86355288153697	-4.72430034393019	-3.61822673349038	-2.42136330602371
-1.85693329953622	-4.70629785867144	-3.60018571958131	-2.43992977734327
-1.85031371753547	-4.6847228387354	-3.58420161664566	-2.45672439650495
-1.84369413553472	-4.64716849814988	-3.57621914254681	-2.39574127117076
-1.83707455353398	-4.64332615942557	-3.55894843606378	-2.4071271164316
-1.83045497153323	-4.63376485791669	-3.54927033060233	-2.40329277569478
-1.82383538953248	-4.60091875311777	-3.53716559589394	-2.39261272432775
-1.81721580753174	-4.58419090061431	-3.5115719045467	-2.37741779502673
-1.81059622553099	-4.56373441303914	-3.50503827287347	-2.37386877011101
-1.80397664353024	-4.56519144216563	-3.49314923892288	-2.38517090261994
-1.7973570615295	-4.54751920229469	-3.48624043583638	-2.34561428960676
-1.79073747952875	-4.54647199378495	-3.47818293589631	-2.31121067636851
-1.784117897528	-4.52401431828057	-3.46443738380476	-2.32523110485843
-1.77749831552725	-4.52225719994515	-3.43987685370223	-2.33446773831738
-1.77087873352651	-4.48856183569968	-3.44009894605589	-2.29139763276077
-1.76425915152576	-4.46898852989824	-3.41627763969649	-2.28988005080117
-1.75763956952501	-4.44897194612316	-3.41023252589211	-2.25293242572949
-1.75101998752427	-4.45494890190216	-3.39610140440537	-2.25554053942136
-1.74440040552352	-4.42412071361963	-3.37165149725292	-2.23325911604762
-1.73778082352277	-4.39676511452937	-3.35396706276382	-2.25159354363561
-1.73116124152202	-4.41066294671812	-3.34877997690316	-2.24327677926776
-1.72454165952128	-4.36287410511056	-3.34780502796225	-2.21872450234177
-1.71792207752053	-4.35953920087747	-3.32138134929904	-2.22611938249026
-1.71130249551978	-4.38103088165672	-3.30452202737859	-2.1955885409255
-1.70468291351904	-4.32118619131612	-3.29723970055886	-2.19174640046267
-1.69806333151829	-4.32866993773412	-3.28193485340094	-2.18764536413606
-1.69144374951754	-4.30144714383122	-3.26991884969584	-2.16120565043978
-1.68482416751679	-4.28267331055728	-3.26101026439743	-2.14792323789561
-1.67820458551605	-4.2737913457693	-3.24203594045733	-2.13688153966913
