"mitochan"	"lwrNorm"	"medNorm"	"uprNorm"
-1.90327037354145	-2.44262246683721	-2.14622423608611	-1.85490013876009
-1.89706886147604	-2.42110117806237	-2.13816999185713	-1.84458861569573
-1.89086734941062	-2.42651608839113	-2.1321986281976	-1.83519878213951
-1.88466583734521	-2.41942339648313	-2.12422147493378	-1.82911891060894
-1.87846432527979	-2.41173316841814	-2.11410714187462	-1.81197058189562
-1.87226281321438	-2.40199114248957	-2.11097348361364	-1.81411173684553
-1.86606130114897	-2.39990528569999	-2.10598187584903	-1.80874902322046
-1.85985978908355	-2.39405602874945	-2.10132494370621	-1.80630121414386
-1.85365827701814	-2.39905636163335	-2.09161975156164	-1.79080620890241
-1.84745676495273	-2.39910436169734	-2.08240234239872	-1.78728290741359
-1.84125525288731	-2.36781941127575	-2.07858977429337	-1.79206251798768
-1.8350537408219	-2.36051651864321	-2.07159219305518	-1.7729403389031
-1.82885222875648	-2.36537930064499	-2.06300451835042	-1.76362311713716
-1.82265071669107	-2.35713404825196	-2.05269055982414	-1.77483369670348
-1.81644920462566	-2.33785901863833	-2.04674509721472	-1.75950163084733
-1.81024769256024	-2.33426391508416	-2.04272141367632	-1.75548131004571
-1.80404618049483	-2.33137719526312	-2.03886905041573	-1.74852223221576
-1.79784466842942	-2.32543650977936	-2.03029814968575	-1.73331518721049
-1.791643156364	-2.32678607673413	-2.02571033897392	-1.73081689642378
-1.78544164429859	-2.30988068932815	-2.01948945632779	-1.73620034843653
-1.77924013223318	-2.30900685073136	-2.01338639047852	-1.71998740865417
-1.77303862016776	-2.2895979818343	-2.00672041838282	-1.70585500718004
-1.76683710810235	-2.29882309675299	-1.99223360554952	-1.71917704538557
-1.76063559603693	-2.28444404485764	-1.992736853137	-1.69923963685498
-1.75443408397152	-2.26335189690323	-1.98434076426141	-1.69896671348908
-1.74823257190611	-2.27292705831807	-1.97951452063266	-1.68570560481133
-1.74203105984069	-2.26350300829488	-1.96875960088898	-1.68978117307972
-1.73582954777528	-2.25481548293894	-1.96615843206098	-1.67931918378174
-1.72962803570987	-2.26279540740642	-1.95588514738097	-1.67396199513903
-1.72342652364445	-2.24315164476461	-1.95381433732928	-1.66206527386859
-1.71722501157904	-2.2393517954008	-1.94265849402761	-1.65035010821215
-1.71102349951362	-2.21884170961532	-1.93443568922167	-1.64369164332942
-1.70482198744821	-2.23644625903747	-1.93143303178843	-1.64149817652121
-1.6986204753828	-2.21283020921347	-1.92401964581804	-1.6337913571298
-1.69241896331738	-2.21431858514549	-1.9179443229671	-1.62713905877116
-1.68621745125197	-2.1988781782813	-1.91184374236698	-1.6266223856694
-1.68001593918656	-2.19101443669514	-1.90911523615288	-1.60225562870905
-1.67381442712114	-2.18367286284183	-1.90040481015505	-1.61114155283367
-1.66761291505573	-2.18480255306659	-1.89620666751236	-1.60704816958598
-1.66141140299031	-2.18209954995361	-1.88271182577587	-1.5933752100162
-1.6552098909249	-2.16285191394216	-1.87930117831717	-1.5888669567153
-1.64900837885949	-2.17334243627919	-1.87572389733072	-1.58398655057072
-1.64280686679407	-2.15128943579231	-1.85779212117885	-1.58197487633565
-1.63660535472866	-2.14032635077888	-1.86115856325841	-1.57005756759785
-1.63040384266325	-2.14435230777876	-1.85174780988949	-1.55710156301184
-1.62420233059783	-2.13984402401493	-1.84363905219244	-1.54191613553959
-1.61800081853242	-2.13145420045461	-1.84552973313227	-1.55616732151284
