"mitochan"	"lwrNorm"	"medNorm"	"uprNorm"
-1.90327037354145	-3.84817365509767	-2.71816760650985	-1.59309035924589
-1.89755293934577	-3.81742492858947	-2.71106437118529	-1.57672693823421
-1.8918355051501	-3.80997976199379	-2.70007064483849	-1.57002868833921
-1.88611807095443	-3.78415132730519	-2.69740728535541	-1.57388183223847
-1.88040063675875	-3.81503182615352	-2.69358541426083	-1.57089177248732
-1.87468320256308	-3.77494406496105	-2.68316004786599	-1.57855947583502
-1.8689657683674	-3.79147612735327	-2.67294303345783	-1.55710497963337
-1.86324833417173	-3.74228218738139	-2.67030336758004	-1.56113618362833
-1.85753089997605	-3.74270247151055	-2.65550784569281	-1.55870358323576
-1.85181346578038	-3.7460641566004	-2.65336420130915	-1.541867407327
-1.8460960315847	-3.72746739061809	-2.63966381187697	-1.54502734854677
-1.84037859738903	-3.70816485868711	-2.63355636824994	-1.53567738959923
-1.83466116319335	-3.71922472825059	-2.63101331592162	-1.54483089526707
-1.82894372899768	-3.66813110158907	-2.62580803697724	-1.53009191688804
-1.82322629480201	-3.72093073826547	-2.60744225278922	-1.52260713776088
-1.81750886060633	-3.68294777785949	-2.59876202530705	-1.51660208740452
-1.81179142641066	-3.67712773380835	-2.59442501179315	-1.50391042444715
-1.80607399221498	-3.6685180920608	-2.58282443072318	-1.46992086919952
-1.80035655801931	-3.65893302713379	-2.58020122835956	-1.51046810498743
-1.79463912382363	-3.63509116570445	-2.57840537310943	-1.49432033019262
-1.78892168962796	-3.62068254880067	-2.57386397003646	-1.48675792968516
-1.78320425543228	-3.63256631009749	-2.55703955234269	-1.49165229413683
-1.77748682123661	-3.61280763218622	-2.55023685274376	-1.4621280387448
-1.77176938704093	-3.61631765756687	-2.54665021790281	-1.44848777639756
-1.76605195284526	-3.61441609024426	-2.54085880283086	-1.46440239922557
-1.76033451864959	-3.60000037251208	-2.522111112436	-1.4543280904647
-1.75461708445391	-3.58887700265513	-2.52046457451577	-1.43549711293866
-1.74889965025824	-3.57599881890149	-2.51054106032708	-1.43558914269102
-1.74318221606256	-3.56657121603851	-2.50398775156181	-1.44913832568657
-1.73746478186689	-3.56001131022219	-2.50240016688414	-1.4366307107271
-1.73174734767121	-3.53785459495795	-2.49245317767579	-1.4389126650771
-1.72602991347554	-3.52707439839651	-2.47967939349843	-1.39104872366844
-1.72031247927986	-3.50463063808828	-2.47716100048493	-1.40362191715068
-1.71459504508419	-3.50669968791336	-2.46531503699323	-1.40962280427164
-1.70887761088851	-3.50251261695502	-2.44808864038876	-1.41791661859321
-1.70316017669284	-3.47303295298953	-2.44781728193439	-1.39838045203467
-1.69744274249717	-3.46689998668405	-2.43462273821967	-1.42222327648851
-1.69172530830149	-3.49062418198058	-2.42436412111516	-1.3957774160367
-1.68600787410582	-3.46546831798167	-2.43279769684867	-1.38928721015874
-1.68029043991014	-3.46677975285277	-2.4154345322183	-1.37661202485835
-1.67457300571447	-3.42841268839081	-2.40549721253728	-1.38080031412691
-1.66885557151879	-3.4111523253587	-2.40173989815557	-1.37304431878256
-1.66313813732312	-3.41482668025007	-2.39859369587239	-1.36739518521625
-1.65742070312744	-3.42480249037177	-2.3732472553669	-1.36324131399434
-1.65170326893177	-3.37436163772678	-2.37848277127626	-1.35197211787094
-1.64598583473609	-3.39357340436982	-2.38538850148623	-1.36008995565253
-1.64026840054042	-3.38365906907781	-2.35501704050539	-1.35507694752503
-1.63455096634475	-3.36401883479896	-2.35107377474415	-1.3476600359553
-1.62883353214907	-3.36089988376112	-2.34405574771502	-1.3456440635198
-1.6231160979534	-3.35470990920304	-2.34049728447819	-1.30376887319286
-1.61739866375772	-3.33343958939476	-2.33191349377341	-1.2999651892951
-1.61168122956205	-3.3377128902698	-2.32938261252649	-1.31536762173941
-1.60596379536637	-3.32315350518013	-2.31879159037876	-1.32470359545477
-1.6002463611707	-3.29753321707704	-2.31512948920073	-1.29764048947854
-1.59452892697502	-3.28620008640861	-2.3009789820582	-1.2889773132633
-1.58881149277935	-3.28051943515238	-2.30443983549774	-1.28701623027526
-1.58309405858367	-3.28240540464353	-2.29195455662559	-1.28285812379354
-1.577376624388	-3.24833596131667	-2.27969622613757	-1.28868311633329
-1.57165919019233	-3.26108189097692	-2.27273218401118	-1.28775780734041
-1.56594175599665	-3.25889682585738	-2.25965253364796	-1.26715850687871
-1.56022432180098	-3.24332894225758	-2.25420554596391	-1.29076097058618
-1.5545068876053	-3.21878937785438	-2.24384560084222	-1.26777909054513
-1.54878945340963	-3.21436772789967	-2.24114014546045	-1.26604666785434
-1.54307201921395	-3.20768898658081	-2.23726613568411	-1.25623508843185
-1.53735458501828	-3.19203415449644	-2.22987921998214	-1.26768869138701
-1.5316371508226	-3.19025338172169	-2.21596096013195	-1.22149149521313
-1.52591971662693	-3.18959887496882	-2.20777238640612	-1.22184199498297
-1.52020228243125	-3.16629150084834	-2.19933145842828	-1.2632752641318
-1.51448484823558	-3.15746515853714	-2.19032953480458	-1.22378092099056
-1.50876741403991	-3.16221205118826	-2.19553457150878	-1.22469699042048
-1.50304997984423	-3.1274596982854	-2.17488108033404	-1.22156906936807
-1.49733254564856	-3.11857184783853	-2.1732238303248	-1.21327662787734
-1.49161511145288	-3.11713469990481	-2.16766281513915	-1.21851612396015
-1.48589767725721	-3.10649560954974	-2.1575340114841	-1.18329485626497
-1.48018024306153	-3.09911603756058	-2.14340119991226	-1.21215402908784
-1.47446280886586	-3.09249839046331	-2.13967428158795	-1.18094737508217
-1.46874537467018	-3.10346622374932	-2.13478091704165	-1.18545986487529
-1.46302794047451	-3.07115327163602	-2.12750789567349	-1.1942901085666
-1.45731050627883	-3.0490793834584	-2.11303237793699	-1.17538129240571
-1.45159307208316	-3.04372375668461	-2.1115831317118	-1.15901697295891
-1.44587563788749	-3.05909776198515	-2.10178591373805	-1.16969089123255
-1.44015820369181	-3.02665690340759	-2.08753119001666	-1.16604314885353
-1.43444076949614	-3.03757043280659	-2.0887338698064	-1.15853751770278
-1.42872333530046	-3.0063839559764	-2.08216337553963	-1.14492903327809
-1.42300590110479	-3.01127577242551	-2.07595860078811	-1.15697660305975
-1.41728846690911	-2.98725216981936	-2.07009043120066	-1.1116441752434
-1.41157103271344	-2.97345022673456	-2.04874245942881	-1.12009592057342
-1.40585359851776	-2.96392791726326	-2.04542352867583	-1.14130355600644
-1.40013616432209	-2.99425948024496	-2.02966186575607	-1.10818131261904
-1.39441873012641	-2.93083421006496	-2.03332689614171	-1.10916137310456
-1.38870129593074	-2.94643145827741	-2.02101477213822	-1.1169218562184
-1.38298386173507	-2.92428466448921	-2.01645387068616	-1.11295568805949
-1.37726642753939	-2.94479647139725	-2.00657223332154	-1.10406491511137
-1.37154899334372	-2.92582514171907	-2.00238546800461	-1.08861809574308
-1.36583155914804	-2.89479467657582	-1.98958314808407	-1.09237025116702
-1.36011412495237	-2.91315257469171	-1.98415861283783	-1.08680731851944
-1.35439669075669	-2.88949008084933	-1.9718510077136	-1.07991908793068
-1.34867925656102	-2.87017374038389	-1.98011974246361	-1.05895940915175
-1.34296182236534	-2.86406597884995	-1.9641527608582	-1.05669360019173
-1.33724438816967	-2.86719325765488	-1.96156942459846	-1.05715648578829
-1.33152695397399	-2.85325415509026	-1.9429597417489	-1.04881603030845
-1.32580951977832	-2.84873559935256	-1.93966233062755	-1.04536011585078
-1.32009208558265	-2.83073405422975	-1.92689040110784	-1.04870058739131
-1.31437465138697	-2.81364371127235	-1.92328717406836	-1.02390091739414
-1.3086572171913	-2.78987001834701	-1.9143722929506	-1.04711135407338
-1.30293978299562	-2.80788849675933	-1.91290327669722	-1.01357726271399
-1.29722234879995	-2.78739492914292	-1.8958694050864	-1.00841094738809
-1.29150491460427	-2.78744569039614	-1.89349195168084	-1.02557528885223
-1.2857874804086	-2.75872017250278	-1.88319590512217	-1.0083906405277
-1.28007004621292	-2.75822831824891	-1.88106649220034	-0.999880929664461
-1.27435261201725	-2.73429313012703	-1.87349291362773	-0.974360581822461
-1.26863517782157	-2.74025562697902	-1.86860441374861	-0.989946753877877
-1.2629177436259	-2.71647760054388	-1.85172512591213	-0.981624183250976
-1.25720030943023	-2.71863979344197	-1.84863654980228	-0.984754946561897
-1.25148287523455	-2.71671710253382	-1.8401135095514	-0.979300073445006
-1.24576544103888	-2.72462466931448	-1.84224443337977	-0.963246656852954
